sample ID	forward sequence count
F01R11	6250
F05R12	6250
F06R20	6250
F06R19	6250
F06R18	6250
F06R17	6250
F06R16	6250
F06R15	6250
F06R14	6250
F06R13	6250
F06R12	6250
F09R16	6250
F05R20	6250
F05R19	6250
F05R18	6250
F05R17	6250
F05R16	6250
F05R15	6250
F05R14	6250
F09R15	6250
F07R12	6250
F07R13	6250
F08R13	6250
F08R20	6250
F08R19	6250
F08R18	6250
F08R17	6250
F08R16	6250
F08R15	6250
F08R14	6250
F08R12	6250
F07R14	6250
F09R14	6250
F07R20	6250
F07R19	6250
F07R18	6250
F07R17	6250
F07R16	6250
F07R15	6250
F05R13	6250
F09R17	6250
F09R12	6250
F03R12	6250
F02R20	6250
F02R19	6250
F02R18	6250
F02R16	6250
F02R15	6250
F02R14	6250
F02R13	6250
F02R12	6250
F09R20	6250
F10R13	6250
F10R14	6250
F10R16	6250
F10R17	6250
F10R18	6250
F10R19	6250
F04R20	6250
F09R13	6250
F03R13	6250
F03R14	6250
F04R19	6250
F04R18	6250
F04R17	6250
F04R16	6250
F04R15	6250
F04R14	6250
F04R13	6250
F04R12	6250
F09R18	6250
F03R20	6250
F03R19	6250
F03R18	6250
F03R17	6250
F03R16	6250
F03R15	6250
F10R15	404
F10R12	78
F02R17	5
F09R19	4
F10R20	3
F02R11	2
F01R12	1
F01R15	1
F03R11	1
F09R11	0
F01R18	0
F01R13	0
F01R14	0
F01R16	0
F01R17	0
F01R20	0
F01R19	0
F08R11	0
F10R11	0
F04R11	0
F05R11	0
F07R11	0
F06R11	0
